Run on a MSNT machine on 06/30/18 23:43:03.
Optimal solution found within time limit:,Yes

Renewable Capacity (MW),       200.00
Renewable Penetration for Input (%),         0.38
hydrogen use,         1.00

actual operating profit, -63617011.02
total electricity input (MWh),    788406.31
total electricity output (MWh),         0.00
output to input ratio,         0.00
input capacity factor,         0.90
output capacity factor,         0.00
average regup (MW),         0.00
average regdn (MW),         0.00
average spinres (MW),         0.00
average nonspinres (MW),         0.00
number of input power system starts,      8760.00
number of output power system starts,      8760.00
arbitrage revenue ($),-41946930.33
regup revenue ($),         0.00
regdn revenue ($),         0.00
spinres revenue ($),         0.00
nonspinres revenue ($),         0.00
hydrogen revenue ($),  43558359.48
REC revenue ($),   1495208.34
LCFS revenue ($),  27367395.04
startup costs ($),         0.00

Interval, In Pwr (MW), Out Pwr (MW), Storage Lvl (MW-h), In Reg Up (MW), Out Reg Up (MW), In Reg Dn (MW), Out Reg Dn (MW), In Spin (MW), Out Spin (MW), In Nonspin (MW), Out Nonspin (MW), H2 Out (kg), Non-Ren In (MW), Ren In (MW), Ren Sold (MW), Curt (MW)
      110.00,       91.89,        0.00,      461.78,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        5.76,        0.00,        0.00
      111.00,      100.00,        0.00,      467.92,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       72.86,       27.14,        0.00,        0.00
      112.00,      100.00,        0.00,      474.05,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       84.72,       15.28,        0.00,        0.00
      113.00,       88.57,        0.00,      473.18,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        2.44,        0.00,        0.00
      114.00,       86.13,        0.00,      470.80,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
      115.00,       86.13,        0.00,      468.43,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
      116.00,       86.13,        0.00,      466.05,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
      117.00,       86.13,        0.00,      463.68,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
      118.00,       86.13,        0.00,      461.30,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
      119.00,       86.13,        0.00,      458.93,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
      120.00,       86.13,        0.00,      456.55,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
      121.00,       86.13,        0.00,      454.18,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
      122.00,       86.13,        0.00,      451.80,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
      123.00,       86.13,        0.00,      449.43,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
      124.00,       86.13,        0.00,      447.05,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
